,state,team1,team2,year,topsearch,winner
0,New Hampshire,18.0,82.0,2010,Boston Celtics,Los Angeles Lakers
1,Massachusetts,27.0,73.0,2010,Boston Celtics,Los Angeles Lakers
2,Rhode Island,28.0,72.0,2010,Boston Celtics,Los Angeles Lakers
3,Maine,22.0,78.0,2010,Boston Celtics,Los Angeles Lakers
4,California,77.0,23.0,2010,Los Angeles Lakers,Los Angeles Lakers
5,Vermont,51.0,49.0,2010,Los Angeles Lakers,Los Angeles Lakers
6,Hawaii,56.0,44.0,2010,Los Angeles Lakers,Los Angeles Lakers
7,Nevada,62.0,38.0,2010,Los Angeles Lakers,Los Angeles Lakers
8,Connecticut,33.0,67.0,2010,Boston Celtics,Los Angeles Lakers
9,North Dakota,29.0,71.0,2010,Boston Celtics,Los Angeles Lakers
10,Arizona,60.0,40.0,2010,Los Angeles Lakers,Los Angeles Lakers
11,Arkansas,64.0,36.0,2010,Los Angeles Lakers,Los Angeles Lakers
12,Utah,55.0,45.0,2010,Los Angeles Lakers,Los Angeles Lakers
13,New Mexico,44.0,56.0,2010,Boston Celtics,Los Angeles Lakers
14,Alabama,44.0,56.0,2010,Boston Celtics,Los Angeles Lakers
15,Wyoming,50.0,50.0,2010,Los Angeles Lakers,Los Angeles Lakers
16,Texas,59.0,41.0,2010,Los Angeles Lakers,Los Angeles Lakers
17,District of Columbia,56.0,44.0,2010,Los Angeles Lakers,Los Angeles Lakers
18,Washington,57.0,43.0,2010,Los Angeles Lakers,Los Angeles Lakers
19,Mississippi,48.0,52.0,2010,Boston Celtics,Los Angeles Lakers
20,Maryland,53.0,47.0,2010,Los Angeles Lakers,Los Angeles Lakers
21,New York,49.0,51.0,2010,Boston Celtics,Los Angeles Lakers
22,Virginia,53.0,47.0,2010,Los Angeles Lakers,Los Angeles Lakers
23,Alaska,55.0,45.0,2010,Los Angeles Lakers,Los Angeles Lakers
24,Colorado,56.0,44.0,2010,Los Angeles Lakers,Los Angeles Lakers
25,Georgia,51.0,49.0,2010,Los Angeles Lakers,Los Angeles Lakers
26,Idaho,66.0,34.0,2010,Los Angeles Lakers,Los Angeles Lakers
27,Oregon,55.0,45.0,2010,Los Angeles Lakers,Los Angeles Lakers
28,New Jersey,47.0,53.0,2010,Boston Celtics,Los Angeles Lakers
29,South Carolina,47.0,53.0,2010,Boston Celtics,Los Angeles Lakers
30,Missouri,53.0,47.0,2010,Los Angeles Lakers,Los Angeles Lakers
31,Tennessee,49.0,51.0,2010,Boston Celtics,Los Angeles Lakers
32,Louisiana,50.0,50.0,2010,Los Angeles Lakers,Los Angeles Lakers
33,Florida,52.0,48.0,2010,Los Angeles Lakers,Los Angeles Lakers
34,Illinois,54.0,46.0,2010,Los Angeles Lakers,Los Angeles Lakers
35,Montana,46.0,54.0,2010,Boston Celtics,Los Angeles Lakers
36,North Carolina,50.0,50.0,2010,Los Angeles Lakers,Los Angeles Lakers
37,Kansas,54.0,46.0,2010,Los Angeles Lakers,Los Angeles Lakers
38,West Virginia,56.0,44.0,2010,Los Angeles Lakers,Los Angeles Lakers
39,Oklahoma,54.0,46.0,2010,Los Angeles Lakers,Los Angeles Lakers
40,Michigan,55.0,45.0,2010,Los Angeles Lakers,Los Angeles Lakers
41,Minnesota,48.0,52.0,2010,Boston Celtics,Los Angeles Lakers
42,Nebraska,50.0,50.0,2010,Los Angeles Lakers,Los Angeles Lakers
43,Kentucky,51.0,49.0,2010,Los Angeles Lakers,Los Angeles Lakers
44,Delaware,52.0,48.0,2010,Los Angeles Lakers,Los Angeles Lakers
45,Pennsylvania,50.0,50.0,2010,Los Angeles Lakers,Los Angeles Lakers
46,Indiana,51.0,49.0,2010,Los Angeles Lakers,Los Angeles Lakers
47,Ohio,52.0,48.0,2010,Los Angeles Lakers,Los Angeles Lakers
48,South Dakota,63.0,37.0,2010,Los Angeles Lakers,Los Angeles Lakers
49,Iowa,58.0,42.0,2010,Los Angeles Lakers,Los Angeles Lakers
50,Wisconsin,47.0,53.0,2010,Boston Celtics,Los Angeles Lakers
0,Texas,77.0,23.0,2011,Dallas Mavericks,Dallas Mavericks
1,Florida,20.0,80.0,2011,Miami Heat,Dallas Mavericks
2,Georgia,42.0,58.0,2011,Miami Heat,Dallas Mavericks
3,Illinois,46.0,54.0,2011,Miami Heat,Dallas Mavericks
4,Oklahoma,57.0,43.0,2011,Dallas Mavericks,Dallas Mavericks
5,Ohio,45.0,55.0,2011,Miami Heat,Dallas Mavericks
6,District of Columbia,48.0,52.0,2011,Miami Heat,Dallas Mavericks
7,New York,46.0,54.0,2011,Miami Heat,Dallas Mavericks
8,Mississippi,38.0,62.0,2011,Miami Heat,Dallas Mavericks
9,Hawaii,48.0,52.0,2011,Miami Heat,Dallas Mavericks
10,Michigan,45.0,55.0,2011,Miami Heat,Dallas Mavericks
11,North Carolina,42.0,58.0,2011,Miami Heat,Dallas Mavericks
12,California,50.0,50.0,2011,Dallas Mavericks,Dallas Mavericks
13,Massachusetts,46.0,54.0,2011,Miami Heat,Dallas Mavericks
14,Virginia,44.0,56.0,2011,Miami Heat,Dallas Mavericks
15,Arkansas,52.0,48.0,2011,Dallas Mavericks,Dallas Mavericks
16,Alabama,43.0,57.0,2011,Miami Heat,Dallas Mavericks
17,Minnesota,47.0,53.0,2011,Miami Heat,Dallas Mavericks
18,Colorado,56.0,44.0,2011,Dallas Mavericks,Dallas Mavericks
19,Maryland,45.0,55.0,2011,Miami Heat,Dallas Mavericks
20,South Carolina,43.0,57.0,2011,Miami Heat,Dallas Mavericks
21,Louisiana,51.0,49.0,2011,Dallas Mavericks,Dallas Mavericks
22,Washington,48.0,52.0,2011,Miami Heat,Dallas Mavericks
23,Nevada,48.0,52.0,2011,Miami Heat,Dallas Mavericks
24,Nebraska,51.0,49.0,2011,Dallas Mavericks,Dallas Mavericks
25,Pennsylvania,45.0,55.0,2011,Miami Heat,Dallas Mavericks
26,Kentucky,41.0,59.0,2011,Miami Heat,Dallas Mavericks
27,New Jersey,47.0,53.0,2011,Miami Heat,Dallas Mavericks
28,Indiana,49.0,51.0,2011,Miami Heat,Dallas Mavericks
29,Arizona,48.0,52.0,2011,Miami Heat,Dallas Mavericks
30,Tennessee,49.0,51.0,2011,Miami Heat,Dallas Mavericks
31,Delaware,40.0,60.0,2011,Miami Heat,Dallas Mavericks
32,Missouri,45.0,55.0,2011,Miami Heat,Dallas Mavericks
33,Kansas,51.0,49.0,2011,Dallas Mavericks,Dallas Mavericks
34,Maine,50.0,50.0,2011,Dallas Mavericks,Dallas Mavericks
35,Montana,46.0,54.0,2011,Miami Heat,Dallas Mavericks
36,Wisconsin,42.0,58.0,2011,Miami Heat,Dallas Mavericks
37,Vermont,44.0,56.0,2011,Miami Heat,Dallas Mavericks
38,Wyoming,75.0,25.0,2011,Dallas Mavericks,Dallas Mavericks
39,Utah,48.0,52.0,2011,Miami Heat,Dallas Mavericks
40,New Mexico,51.0,49.0,2011,Dallas Mavericks,Dallas Mavericks
41,Rhode Island,53.0,47.0,2011,Dallas Mavericks,Dallas Mavericks
42,Idaho,43.0,57.0,2011,Miami Heat,Dallas Mavericks
43,Iowa,53.0,47.0,2011,Dallas Mavericks,Dallas Mavericks
44,Connecticut,48.0,52.0,2011,Miami Heat,Dallas Mavericks
45,Oregon,48.0,52.0,2011,Miami Heat,Dallas Mavericks
46,Alaska,53.0,47.0,2011,Dallas Mavericks,Dallas Mavericks
47,New Hampshire,49.0,51.0,2011,Miami Heat,Dallas Mavericks
48,South Dakota,43.0,57.0,2011,Miami Heat,Dallas Mavericks
49,West Virginia,35.0,65.0,2011,Miami Heat,Dallas Mavericks
50,North Dakota,45.0,55.0,2011,Miami Heat,Dallas Mavericks
0,Oklahoma,19.0,81.0,2012,Oklahoma City Thunder,Miami Heat
1,Florida,83.0,17.0,2012,Miami Heat,Miami Heat
2,Georgia,60.0,40.0,2012,Miami Heat,Miami Heat
3,Texas,41.0,59.0,2012,Oklahoma City Thunder,Miami Heat
4,District of Columbia,58.0,42.0,2012,Miami Heat,Miami Heat
5,Mississippi,62.0,38.0,2012,Miami Heat,Miami Heat
6,Michigan,63.0,37.0,2012,Miami Heat,Miami Heat
7,Missouri,42.0,58.0,2012,Oklahoma City Thunder,Miami Heat
8,Arkansas,43.0,57.0,2012,Oklahoma City Thunder,Miami Heat
9,Louisiana,57.0,43.0,2012,Miami Heat,Miami Heat
10,Ohio,60.0,40.0,2012,Miami Heat,Miami Heat
11,Illinois,54.0,46.0,2012,Miami Heat,Miami Heat
12,Kansas,43.0,57.0,2012,Oklahoma City Thunder,Miami Heat
13,New York,57.0,43.0,2012,Miami Heat,Miami Heat
14,Hawaii,56.0,44.0,2012,Miami Heat,Miami Heat
15,South Carolina,62.0,38.0,2012,Miami Heat,Miami Heat
16,North Carolina,59.0,41.0,2012,Miami Heat,Miami Heat
17,New Hampshire,49.0,51.0,2012,Oklahoma City Thunder,Miami Heat
18,Massachusetts,54.0,46.0,2012,Miami Heat,Miami Heat
19,Alabama,56.0,44.0,2012,Miami Heat,Miami Heat
20,Kentucky,58.0,42.0,2012,Miami Heat,Miami Heat
21,New Jersey,58.0,42.0,2012,Miami Heat,Miami Heat
22,Tennessee,57.0,43.0,2012,Miami Heat,Miami Heat
23,Alaska,52.0,48.0,2012,Miami Heat,Miami Heat
24,Delaware,68.0,32.0,2012,Miami Heat,Miami Heat
25,Wisconsin,49.0,51.0,2012,Oklahoma City Thunder,Miami Heat
26,Maryland,54.0,46.0,2012,Miami Heat,Miami Heat
27,Minnesota,52.0,48.0,2012,Miami Heat,Miami Heat
28,California,55.0,45.0,2012,Miami Heat,Miami Heat
29,Vermont,44.0,56.0,2012,Oklahoma City Thunder,Miami Heat
30,Virginia,57.0,43.0,2012,Miami Heat,Miami Heat
31,Arizona,52.0,48.0,2012,Miami Heat,Miami Heat
32,Washington,48.0,52.0,2012,Oklahoma City Thunder,Miami Heat
33,Colorado,52.0,48.0,2012,Miami Heat,Miami Heat
34,Nevada,50.0,50.0,2012,Miami Heat,Miami Heat
35,Nebraska,53.0,47.0,2012,Miami Heat,Miami Heat
36,Pennsylvania,58.0,42.0,2012,Miami Heat,Miami Heat
37,Utah,56.0,44.0,2012,Miami Heat,Miami Heat
38,Indiana,56.0,44.0,2012,Miami Heat,Miami Heat
39,Rhode Island,56.0,44.0,2012,Miami Heat,Miami Heat
40,South Dakota,60.0,40.0,2012,Miami Heat,Miami Heat
41,Connecticut,55.0,45.0,2012,Miami Heat,Miami Heat
42,Maine,60.0,40.0,2012,Miami Heat,Miami Heat
43,Iowa,49.0,51.0,2012,Oklahoma City Thunder,Miami Heat
44,North Dakota,51.0,49.0,2012,Miami Heat,Miami Heat
45,West Virginia,62.0,38.0,2012,Miami Heat,Miami Heat
46,New Mexico,46.0,54.0,2012,Oklahoma City Thunder,Miami Heat
47,Wyoming,41.0,59.0,2012,Oklahoma City Thunder,Miami Heat
48,Montana,51.0,49.0,2012,Miami Heat,Miami Heat
49,Oregon,51.0,49.0,2012,Miami Heat,Miami Heat
50,Idaho,64.0,36.0,2012,Miami Heat,Miami Heat
0,Florida,79.0,21.0,2013,Miami Heat,Miami Heat
1,Texas,42.0,58.0,2013,San Antonio Spurs,Miami Heat
2,Georgia,68.0,32.0,2013,Miami Heat,Miami Heat
3,Illinois,66.0,34.0,2013,Miami Heat,Miami Heat
4,Mississippi,64.0,36.0,2013,Miami Heat,Miami Heat
5,New York,64.0,36.0,2013,Miami Heat,Miami Heat
6,District of Columbia,60.0,40.0,2013,Miami Heat,Miami Heat
7,Hawaii,57.0,43.0,2013,Miami Heat,Miami Heat
8,California,60.0,40.0,2013,Miami Heat,Miami Heat
9,Maryland,61.0,39.0,2013,Miami Heat,Miami Heat
10,Louisiana,59.0,41.0,2013,Miami Heat,Miami Heat
11,Alabama,62.0,38.0,2013,Miami Heat,Miami Heat
12,Oklahoma,53.0,47.0,2013,Miami Heat,Miami Heat
13,Tennessee,61.0,39.0,2013,Miami Heat,Miami Heat
14,New Mexico,56.0,44.0,2013,Miami Heat,Miami Heat
15,South Carolina,64.0,36.0,2013,Miami Heat,Miami Heat
16,Indiana,57.0,43.0,2013,Miami Heat,Miami Heat
17,North Carolina,60.0,40.0,2013,Miami Heat,Miami Heat
18,Ohio,59.0,41.0,2013,Miami Heat,Miami Heat
19,Virginia,60.0,40.0,2013,Miami Heat,Miami Heat
20,Missouri,60.0,40.0,2013,Miami Heat,Miami Heat
21,Colorado,51.0,49.0,2013,Miami Heat,Miami Heat
22,Massachusetts,60.0,40.0,2013,Miami Heat,Miami Heat
23,Nevada,60.0,40.0,2013,Miami Heat,Miami Heat
24,New Jersey,61.0,39.0,2013,Miami Heat,Miami Heat
25,Kentucky,61.0,39.0,2013,Miami Heat,Miami Heat
26,Michigan,63.0,37.0,2013,Miami Heat,Miami Heat
27,Minnesota,61.0,39.0,2013,Miami Heat,Miami Heat
28,Arizona,58.0,42.0,2013,Miami Heat,Miami Heat
29,Wisconsin,62.0,38.0,2013,Miami Heat,Miami Heat
30,Kansas,57.0,43.0,2013,Miami Heat,Miami Heat
31,Connecticut,61.0,39.0,2013,Miami Heat,Miami Heat
32,Delaware,63.0,37.0,2013,Miami Heat,Miami Heat
33,Utah,59.0,41.0,2013,Miami Heat,Miami Heat
34,Nebraska,61.0,39.0,2013,Miami Heat,Miami Heat
35,Wyoming,58.0,42.0,2013,Miami Heat,Miami Heat
36,South Dakota,62.0,38.0,2013,Miami Heat,Miami Heat
37,Vermont,61.0,39.0,2013,Miami Heat,Miami Heat
38,Washington,60.0,40.0,2013,Miami Heat,Miami Heat
39,Arkansas,61.0,39.0,2013,Miami Heat,Miami Heat
40,Iowa,59.0,41.0,2013,Miami Heat,Miami Heat
41,Montana,60.0,40.0,2013,Miami Heat,Miami Heat
42,Pennsylvania,61.0,39.0,2013,Miami Heat,Miami Heat
43,Rhode Island,61.0,39.0,2013,Miami Heat,Miami Heat
44,Maine,59.0,41.0,2013,Miami Heat,Miami Heat
45,Alaska,56.0,44.0,2013,Miami Heat,Miami Heat
46,New Hampshire,63.0,37.0,2013,Miami Heat,Miami Heat
47,West Virginia,64.0,36.0,2013,Miami Heat,Miami Heat
48,North Dakota,59.0,41.0,2013,Miami Heat,Miami Heat
49,Idaho,55.0,45.0,2013,Miami Heat,Miami Heat
50,Oregon,57.0,43.0,2013,Miami Heat,Miami Heat
0,Florida,17.0,83.0,2014,Miami Heat,San Antonio Spurs
1,Texas,65.0,35.0,2014,San Antonio Spurs,San Antonio Spurs
2,Georgia,40.0,60.0,2014,Miami Heat,San Antonio Spurs
3,Mississippi,41.0,59.0,2014,Miami Heat,San Antonio Spurs
4,Louisiana,43.0,57.0,2014,Miami Heat,San Antonio Spurs
5,Oklahoma,46.0,54.0,2014,Miami Heat,San Antonio Spurs
6,Hawaii,48.0,52.0,2014,Miami Heat,San Antonio Spurs
7,Alabama,38.0,62.0,2014,Miami Heat,San Antonio Spurs
8,South Carolina,38.0,62.0,2014,Miami Heat,San Antonio Spurs
9,Illinois,43.0,57.0,2014,Miami Heat,San Antonio Spurs
10,Kansas,50.0,50.0,2014,San Antonio Spurs,San Antonio Spurs
11,Ohio,37.0,63.0,2014,Miami Heat,San Antonio Spurs
12,Indiana,42.0,58.0,2014,Miami Heat,San Antonio Spurs
13,North Carolina,40.0,60.0,2014,Miami Heat,San Antonio Spurs
14,Missouri,41.0,59.0,2014,Miami Heat,San Antonio Spurs
15,New York,38.0,62.0,2014,Miami Heat,San Antonio Spurs
16,Arkansas,43.0,57.0,2014,Miami Heat,San Antonio Spurs
17,Michigan,35.0,65.0,2014,Miami Heat,San Antonio Spurs
18,Tennessee,43.0,57.0,2014,Miami Heat,San Antonio Spurs
19,New Mexico,53.0,47.0,2014,San Antonio Spurs,San Antonio Spurs
20,Nebraska,43.0,57.0,2014,Miami Heat,San Antonio Spurs
21,Delaware,37.0,63.0,2014,Miami Heat,San Antonio Spurs
22,Maryland,39.0,61.0,2014,Miami Heat,San Antonio Spurs
23,New Jersey,39.0,61.0,2014,Miami Heat,San Antonio Spurs
24,California,41.0,59.0,2014,Miami Heat,San Antonio Spurs
25,Nevada,47.0,53.0,2014,Miami Heat,San Antonio Spurs
26,Kentucky,40.0,60.0,2014,Miami Heat,San Antonio Spurs
27,Virginia,40.0,60.0,2014,Miami Heat,San Antonio Spurs
28,Colorado,45.0,55.0,2014,Miami Heat,San Antonio Spurs
29,Arizona,45.0,55.0,2014,Miami Heat,San Antonio Spurs
30,Massachusetts,41.0,59.0,2014,Miami Heat,San Antonio Spurs
31,District of Columbia,46.0,54.0,2014,Miami Heat,San Antonio Spurs
32,Pennsylvania,37.0,63.0,2014,Miami Heat,San Antonio Spurs
33,Alaska,41.0,59.0,2014,Miami Heat,San Antonio Spurs
34,West Virginia,40.0,60.0,2014,Miami Heat,San Antonio Spurs
35,Rhode Island,37.0,63.0,2014,Miami Heat,San Antonio Spurs
36,South Dakota,40.0,60.0,2014,Miami Heat,San Antonio Spurs
37,Minnesota,42.0,58.0,2014,Miami Heat,San Antonio Spurs
38,Washington,44.0,56.0,2014,Miami Heat,San Antonio Spurs
39,Wisconsin,40.0,60.0,2014,Miami Heat,San Antonio Spurs
40,Wyoming,47.0,53.0,2014,Miami Heat,San Antonio Spurs
41,Utah,45.0,55.0,2014,Miami Heat,San Antonio Spurs
42,Connecticut,40.0,60.0,2014,Miami Heat,San Antonio Spurs
43,North Dakota,49.0,51.0,2014,Miami Heat,San Antonio Spurs
44,Iowa,46.0,54.0,2014,Miami Heat,San Antonio Spurs
45,Maine,42.0,58.0,2014,Miami Heat,San Antonio Spurs
46,Montana,44.0,56.0,2014,Miami Heat,San Antonio Spurs
47,New Hampshire,40.0,60.0,2014,Miami Heat,San Antonio Spurs
48,Idaho,52.0,48.0,2014,San Antonio Spurs,San Antonio Spurs
49,Vermont,40.0,60.0,2014,Miami Heat,San Antonio Spurs
50,Oregon,45.0,55.0,2014,Miami Heat,San Antonio Spurs
0,Ohio,12.0,88.0,2015,Cleveland Cavaliers,Golden State Warriors
1,California,75.0,25.0,2015,Golden State Warriors,Golden State Warriors
2,Washington,78.0,22.0,2015,Golden State Warriors,Golden State Warriors
3,Nevada,64.0,36.0,2015,Golden State Warriors,Golden State Warriors
4,Michigan,39.0,61.0,2015,Cleveland Cavaliers,Golden State Warriors
5,Hawaii,59.0,41.0,2015,Golden State Warriors,Golden State Warriors
6,Texas,52.0,48.0,2015,Golden State Warriors,Golden State Warriors
7,Illinois,49.0,51.0,2015,Cleveland Cavaliers,Golden State Warriors
8,District of Columbia,53.0,47.0,2015,Golden State Warriors,Golden State Warriors
9,Pennsylvania,38.0,62.0,2015,Cleveland Cavaliers,Golden State Warriors
10,Oklahoma,53.0,47.0,2015,Golden State Warriors,Golden State Warriors
11,Indiana,42.0,58.0,2015,Cleveland Cavaliers,Golden State Warriors
12,Kentucky,50.0,50.0,2015,Golden State Warriors,Golden State Warriors
13,Florida,53.0,47.0,2015,Golden State Warriors,Golden State Warriors
14,New York,50.0,50.0,2015,Golden State Warriors,Golden State Warriors
15,South Carolina,49.0,51.0,2015,Cleveland Cavaliers,Golden State Warriors
16,Georgia,50.0,50.0,2015,Golden State Warriors,Golden State Warriors
17,New Mexico,57.0,43.0,2015,Golden State Warriors,Golden State Warriors
18,Oregon,65.0,35.0,2015,Golden State Warriors,Golden State Warriors
19,Tennessee,49.0,51.0,2015,Cleveland Cavaliers,Golden State Warriors
20,Louisiana,54.0,46.0,2015,Golden State Warriors,Golden State Warriors
21,Arizona,55.0,45.0,2015,Golden State Warriors,Golden State Warriors
22,West Virginia,44.0,56.0,2015,Cleveland Cavaliers,Golden State Warriors
23,Mississippi,49.0,51.0,2015,Cleveland Cavaliers,Golden State Warriors
24,North Carolina,50.0,50.0,2015,Golden State Warriors,Golden State Warriors
25,Alabama,50.0,50.0,2015,Golden State Warriors,Golden State Warriors
26,Utah,57.0,43.0,2015,Golden State Warriors,Golden State Warriors
27,South Dakota,56.0,44.0,2015,Golden State Warriors,Golden State Warriors
28,Massachusetts,53.0,47.0,2015,Golden State Warriors,Golden State Warriors
29,Maryland,48.0,52.0,2015,Cleveland Cavaliers,Golden State Warriors
30,New Jersey,48.0,52.0,2015,Cleveland Cavaliers,Golden State Warriors
31,Delaware,48.0,52.0,2015,Cleveland Cavaliers,Golden State Warriors
32,Iowa,52.0,48.0,2015,Golden State Warriors,Golden State Warriors
33,Nebraska,51.0,49.0,2015,Golden State Warriors,Golden State Warriors
34,Missouri,50.0,50.0,2015,Golden State Warriors,Golden State Warriors
35,Kansas,52.0,48.0,2015,Golden State Warriors,Golden State Warriors
36,Arkansas,52.0,48.0,2015,Golden State Warriors,Golden State Warriors
37,Colorado,50.0,50.0,2015,Golden State Warriors,Golden State Warriors
38,Wisconsin,50.0,50.0,2015,Golden State Warriors,Golden State Warriors
39,Connecticut,52.0,48.0,2015,Golden State Warriors,Golden State Warriors
40,Wyoming,54.0,46.0,2015,Golden State Warriors,Golden State Warriors
41,Rhode Island,53.0,47.0,2015,Golden State Warriors,Golden State Warriors
42,Idaho,55.0,45.0,2015,Golden State Warriors,Golden State Warriors
43,Alaska,56.0,44.0,2015,Golden State Warriors,Golden State Warriors
44,Minnesota,50.0,50.0,2015,Golden State Warriors,Golden State Warriors
45,New Hampshire,54.0,46.0,2015,Golden State Warriors,Golden State Warriors
46,North Dakota,49.0,51.0,2015,Cleveland Cavaliers,Golden State Warriors
47,Maine,49.0,51.0,2015,Cleveland Cavaliers,Golden State Warriors
48,Montana,52.0,48.0,2015,Golden State Warriors,Golden State Warriors
49,Vermont,45.0,55.0,2015,Cleveland Cavaliers,Golden State Warriors
50,Virginia,49.0,51.0,2015,Cleveland Cavaliers,Golden State Warriors
0,Ohio,83.0,17.0,2016,Cleveland Cavaliers,Cleveland Cavaliers
1,California,18.0,82.0,2016,Golden State Warriors,Cleveland Cavaliers
2,Hawaii,36.0,64.0,2016,Golden State Warriors,Cleveland Cavaliers
3,Texas,40.0,60.0,2016,Golden State Warriors,Cleveland Cavaliers
4,Georgia,43.0,57.0,2016,Golden State Warriors,Cleveland Cavaliers
5,Illinois,41.0,59.0,2016,Golden State Warriors,Cleveland Cavaliers
6,Nevada,37.0,63.0,2016,Golden State Warriors,Cleveland Cavaliers
7,North Carolina,42.0,58.0,2016,Golden State Warriors,Cleveland Cavaliers
8,Florida,45.0,55.0,2016,Golden State Warriors,Cleveland Cavaliers
9,Michigan,51.0,49.0,2016,Cleveland Cavaliers,Cleveland Cavaliers
10,Mississippi,41.0,59.0,2016,Golden State Warriors,Cleveland Cavaliers
11,New York,43.0,57.0,2016,Golden State Warriors,Cleveland Cavaliers
12,Arizona,35.0,65.0,2016,Golden State Warriors,Cleveland Cavaliers
13,Washington,29.0,71.0,2016,Golden State Warriors,Cleveland Cavaliers
14,Alabama,43.0,57.0,2016,Golden State Warriors,Cleveland Cavaliers
15,New Jersey,42.0,58.0,2016,Golden State Warriors,Cleveland Cavaliers
16,New Mexico,37.0,63.0,2016,Golden State Warriors,Cleveland Cavaliers
17,District of Columbia,44.0,56.0,2016,Golden State Warriors,Cleveland Cavaliers
18,Arkansas,40.0,60.0,2016,Golden State Warriors,Cleveland Cavaliers
19,Louisiana,43.0,57.0,2016,Golden State Warriors,Cleveland Cavaliers
20,Oklahoma,45.0,55.0,2016,Golden State Warriors,Cleveland Cavaliers
21,Nebraska,40.0,60.0,2016,Golden State Warriors,Cleveland Cavaliers
22,South Carolina,45.0,55.0,2016,Golden State Warriors,Cleveland Cavaliers
23,Virginia,42.0,58.0,2016,Golden State Warriors,Cleveland Cavaliers
24,Pennsylvania,51.0,49.0,2016,Cleveland Cavaliers,Cleveland Cavaliers
25,Massachusetts,43.0,57.0,2016,Golden State Warriors,Cleveland Cavaliers
26,Maryland,41.0,59.0,2016,Golden State Warriors,Cleveland Cavaliers
27,Tennessee,41.0,59.0,2016,Golden State Warriors,Cleveland Cavaliers
28,Oregon,37.0,63.0,2016,Golden State Warriors,Cleveland Cavaliers
29,Utah,38.0,62.0,2016,Golden State Warriors,Cleveland Cavaliers
30,Alaska,40.0,60.0,2016,Golden State Warriors,Cleveland Cavaliers
31,Delaware,44.0,56.0,2016,Golden State Warriors,Cleveland Cavaliers
32,South Dakota,41.0,59.0,2016,Golden State Warriors,Cleveland Cavaliers
33,Montana,38.0,62.0,2016,Golden State Warriors,Cleveland Cavaliers
34,Indiana,44.0,56.0,2016,Golden State Warriors,Cleveland Cavaliers
35,Idaho,37.0,63.0,2016,Golden State Warriors,Cleveland Cavaliers
36,Colorado,39.0,61.0,2016,Golden State Warriors,Cleveland Cavaliers
37,Iowa,42.0,58.0,2016,Golden State Warriors,Cleveland Cavaliers
38,Wyoming,37.0,63.0,2016,Golden State Warriors,Cleveland Cavaliers
39,West Virginia,52.0,48.0,2016,Cleveland Cavaliers,Cleveland Cavaliers
40,North Dakota,41.0,59.0,2016,Golden State Warriors,Cleveland Cavaliers
41,Kentucky,48.0,52.0,2016,Golden State Warriors,Cleveland Cavaliers
