,state,team1,team2,year,topsearch,winner
42,Rhode Island,44.0,56.0,2016,Golden State Warriors,Cleveland Cavaliers
43,Connecticut,44.0,56.0,2016,Golden State Warriors,Cleveland Cavaliers
44,Missouri,43.0,57.0,2016,Golden State Warriors,Cleveland Cavaliers
45,Wisconsin,44.0,56.0,2016,Golden State Warriors,Cleveland Cavaliers
46,Maine,42.0,58.0,2016,Golden State Warriors,Cleveland Cavaliers
47,Kansas,41.0,59.0,2016,Golden State Warriors,Cleveland Cavaliers
48,Vermont,41.0,59.0,2016,Golden State Warriors,Cleveland Cavaliers
49,Minnesota,43.0,57.0,2016,Golden State Warriors,Cleveland Cavaliers
50,New Hampshire,42.0,58.0,2016,Golden State Warriors,Cleveland Cavaliers
0,Ohio,15.0,85.0,2017,Cleveland Cavaliers,Golden State Warriors
1,California,76.0,24.0,2017,Golden State Warriors,Golden State Warriors
2,Michigan,42.0,58.0,2017,Cleveland Cavaliers,Golden State Warriors
3,Georgia,51.0,49.0,2017,Golden State Warriors,Golden State Warriors
4,Texas,52.0,48.0,2017,Golden State Warriors,Golden State Warriors
5,Mississippi,53.0,47.0,2017,Golden State Warriors,Golden State Warriors
6,Hawaii,58.0,42.0,2017,Golden State Warriors,Golden State Warriors
7,Nevada,58.0,42.0,2017,Golden State Warriors,Golden State Warriors
8,North Carolina,53.0,47.0,2017,Golden State Warriors,Golden State Warriors
9,Illinois,50.0,50.0,2017,Golden State Warriors,Golden State Warriors
10,Florida,49.0,51.0,2017,Cleveland Cavaliers,Golden State Warriors
11,Alabama,52.0,48.0,2017,Golden State Warriors,Golden State Warriors
12,Pennsylvania,41.0,59.0,2017,Cleveland Cavaliers,Golden State Warriors
13,New Mexico,58.0,42.0,2017,Golden State Warriors,Golden State Warriors
14,South Carolina,49.0,51.0,2017,Cleveland Cavaliers,Golden State Warriors
15,Louisiana,52.0,48.0,2017,Golden State Warriors,Golden State Warriors
16,Arkansas,52.0,48.0,2017,Golden State Warriors,Golden State Warriors
17,District of Columbia,49.0,51.0,2017,Cleveland Cavaliers,Golden State Warriors
18,West Virginia,42.0,58.0,2017,Cleveland Cavaliers,Golden State Warriors
19,New York,49.0,51.0,2017,Cleveland Cavaliers,Golden State Warriors
20,Indiana,49.0,51.0,2017,Cleveland Cavaliers,Golden State Warriors
21,Utah,53.0,47.0,2017,Golden State Warriors,Golden State Warriors
22,Oklahoma,53.0,47.0,2017,Golden State Warriors,Golden State Warriors
23,New Jersey,48.0,52.0,2017,Cleveland Cavaliers,Golden State Warriors
24,Kentucky,47.0,53.0,2017,Cleveland Cavaliers,Golden State Warriors
25,Massachusetts,49.0,51.0,2017,Cleveland Cavaliers,Golden State Warriors
26,Arizona,54.0,46.0,2017,Golden State Warriors,Golden State Warriors
27,Tennessee,51.0,49.0,2017,Golden State Warriors,Golden State Warriors
28,Rhode Island,49.0,51.0,2017,Cleveland Cavaliers,Golden State Warriors
29,Nebraska,53.0,47.0,2017,Golden State Warriors,Golden State Warriors
30,Delaware,50.0,50.0,2017,Golden State Warriors,Golden State Warriors
31,Montana,58.0,42.0,2017,Golden State Warriors,Golden State Warriors
32,Maryland,50.0,50.0,2017,Golden State Warriors,Golden State Warriors
33,Wyoming,52.0,48.0,2017,Golden State Warriors,Golden State Warriors
34,Alaska,52.0,48.0,2017,Golden State Warriors,Golden State Warriors
35,Connecticut,50.0,50.0,2017,Golden State Warriors,Golden State Warriors
36,Wisconsin,48.0,52.0,2017,Cleveland Cavaliers,Golden State Warriors
37,Virginia,50.0,50.0,2017,Golden State Warriors,Golden State Warriors
38,Idaho,60.0,40.0,2017,Golden State Warriors,Golden State Warriors
39,Washington,57.0,43.0,2017,Golden State Warriors,Golden State Warriors
40,New Hampshire,50.0,50.0,2017,Golden State Warriors,Golden State Warriors
41,Oregon,56.0,44.0,2017,Golden State Warriors,Golden State Warriors
42,Iowa,53.0,47.0,2017,Golden State Warriors,Golden State Warriors
43,Maine,49.0,51.0,2017,Cleveland Cavaliers,Golden State Warriors
44,Missouri,51.0,49.0,2017,Golden State Warriors,Golden State Warriors
45,North Dakota,49.0,51.0,2017,Cleveland Cavaliers,Golden State Warriors
46,Colorado,53.0,47.0,2017,Golden State Warriors,Golden State Warriors
47,Vermont,52.0,48.0,2017,Golden State Warriors,Golden State Warriors
48,Minnesota,53.0,47.0,2017,Golden State Warriors,Golden State Warriors
49,South Dakota,53.0,47.0,2017,Golden State Warriors,Golden State Warriors
50,Kansas,54.0,46.0,2017,Golden State Warriors,Golden State Warriors
0,Ohio,14.0,86.0,2018,Cleveland Cavaliers,Golden State Warriors
1,California,74.0,26.0,2018,Golden State Warriors,Golden State Warriors
2,Texas,50.0,50.0,2018,Golden State Warriors,Golden State Warriors
3,Nevada,57.0,43.0,2018,Golden State Warriors,Golden State Warriors
4,Pennsylvania,36.0,64.0,2018,Cleveland Cavaliers,Golden State Warriors
5,Georgia,50.0,50.0,2018,Golden State Warriors,Golden State Warriors
6,Mississippi,49.0,51.0,2018,Cleveland Cavaliers,Golden State Warriors
7,Illinois,48.0,52.0,2018,Cleveland Cavaliers,Golden State Warriors
8,Hawaii,56.0,44.0,2018,Golden State Warriors,Golden State Warriors
9,Florida,46.0,54.0,2018,Cleveland Cavaliers,Golden State Warriors
10,North Carolina,47.0,53.0,2018,Cleveland Cavaliers,Golden State Warriors
11,Alabama,50.0,50.0,2018,Golden State Warriors,Golden State Warriors
12,New York,48.0,52.0,2018,Cleveland Cavaliers,Golden State Warriors
13,Louisiana,49.0,51.0,2018,Cleveland Cavaliers,Golden State Warriors
14,New Mexico,55.0,45.0,2018,Golden State Warriors,Golden State Warriors
15,South Carolina,48.0,52.0,2018,Cleveland Cavaliers,Golden State Warriors
16,West Virginia,37.0,63.0,2018,Cleveland Cavaliers,Golden State Warriors
17,Delaware,44.0,56.0,2018,Cleveland Cavaliers,Golden State Warriors
18,District of Columbia,47.0,53.0,2018,Cleveland Cavaliers,Golden State Warriors
19,Arkansas,51.0,49.0,2018,Golden State Warriors,Golden State Warriors
20,Indiana,47.0,53.0,2018,Cleveland Cavaliers,Golden State Warriors
21,New Jersey,44.0,56.0,2018,Cleveland Cavaliers,Golden State Warriors
22,Michigan,44.0,56.0,2018,Cleveland Cavaliers,Golden State Warriors
23,Kentucky,44.0,56.0,2018,Cleveland Cavaliers,Golden State Warriors
24,Maryland,46.0,54.0,2018,Cleveland Cavaliers,Golden State Warriors
25,Tennessee,47.0,53.0,2018,Cleveland Cavaliers,Golden State Warriors
26,Arizona,51.0,49.0,2018,Golden State Warriors,Golden State Warriors
27,Nebraska,49.0,51.0,2018,Cleveland Cavaliers,Golden State Warriors
28,Rhode Island,48.0,52.0,2018,Cleveland Cavaliers,Golden State Warriors
29,Connecticut,45.0,55.0,2018,Cleveland Cavaliers,Golden State Warriors
30,Utah,52.0,48.0,2018,Golden State Warriors,Golden State Warriors
31,Massachusetts,50.0,50.0,2018,Golden State Warriors,Golden State Warriors
32,Virginia,45.0,55.0,2018,Cleveland Cavaliers,Golden State Warriors
33,Wisconsin,45.0,55.0,2018,Cleveland Cavaliers,Golden State Warriors
34,South Dakota,52.0,48.0,2018,Golden State Warriors,Golden State Warriors
35,Iowa,48.0,52.0,2018,Cleveland Cavaliers,Golden State Warriors
36,Missouri,47.0,53.0,2018,Cleveland Cavaliers,Golden State Warriors
37,Alaska,51.0,49.0,2018,Golden State Warriors,Golden State Warriors
38,Idaho,56.0,44.0,2018,Golden State Warriors,Golden State Warriors
39,Montana,53.0,47.0,2018,Golden State Warriors,Golden State Warriors
40,Oklahoma,50.0,50.0,2018,Golden State Warriors,Golden State Warriors
41,Oregon,58.0,42.0,2018,Golden State Warriors,Golden State Warriors
42,New Hampshire,48.0,52.0,2018,Cleveland Cavaliers,Golden State Warriors
43,Colorado,50.0,50.0,2018,Golden State Warriors,Golden State Warriors
44,Kansas,47.0,53.0,2018,Cleveland Cavaliers,Golden State Warriors
45,Maine,49.0,51.0,2018,Cleveland Cavaliers,Golden State Warriors
46,North Dakota,47.0,53.0,2018,Cleveland Cavaliers,Golden State Warriors
47,Vermont,52.0,48.0,2018,Golden State Warriors,Golden State Warriors
48,Minnesota,49.0,51.0,2018,Cleveland Cavaliers,Golden State Warriors
49,Washington,53.0,47.0,2018,Golden State Warriors,Golden State Warriors
50,Wyoming,52.0,48.0,2018,Golden State Warriors,Golden State Warriors
0,California,24.0,76.0,2019,Golden State Warriors,Toronto Raptors
1,Texas,44.0,56.0,2019,Golden State Warriors,Toronto Raptors
2,Hawaii,40.0,60.0,2019,Golden State Warriors,Toronto Raptors
3,Georgia,39.0,61.0,2019,Golden State Warriors,Toronto Raptors
4,Nevada,40.0,60.0,2019,Golden State Warriors,Toronto Raptors
5,Mississippi,38.0,62.0,2019,Golden State Warriors,Toronto Raptors
6,Illinois,44.0,56.0,2019,Golden State Warriors,Toronto Raptors
7,New Mexico,39.0,61.0,2019,Golden State Warriors,Toronto Raptors
8,Ohio,47.0,53.0,2019,Golden State Warriors,Toronto Raptors
9,North Carolina,40.0,60.0,2019,Golden State Warriors,Toronto Raptors
10,Florida,42.0,58.0,2019,Golden State Warriors,Toronto Raptors
11,Oregon,42.0,58.0,2019,Golden State Warriors,Toronto Raptors
12,Alabama,40.0,60.0,2019,Golden State Warriors,Toronto Raptors
13,Arizona,38.0,62.0,2019,Golden State Warriors,Toronto Raptors
14,Louisiana,41.0,59.0,2019,Golden State Warriors,Toronto Raptors
15,New Jersey,45.0,55.0,2019,Golden State Warriors,Toronto Raptors
16,Washington,38.0,62.0,2019,Golden State Warriors,Toronto Raptors
17,New York,47.0,53.0,2019,Golden State Warriors,Toronto Raptors
18,Arkansas,38.0,62.0,2019,Golden State Warriors,Toronto Raptors
19,Michigan,40.0,60.0,2019,Golden State Warriors,Toronto Raptors
20,Wisconsin,43.0,57.0,2019,Golden State Warriors,Toronto Raptors
21,Virginia,40.0,60.0,2019,Golden State Warriors,Toronto Raptors
22,Maryland,40.0,60.0,2019,Golden State Warriors,Toronto Raptors
23,Oklahoma,44.0,56.0,2019,Golden State Warriors,Toronto Raptors
24,Pennsylvania,46.0,54.0,2019,Golden State Warriors,Toronto Raptors
25,South Carolina,41.0,59.0,2019,Golden State Warriors,Toronto Raptors
26,Utah,45.0,55.0,2019,Golden State Warriors,Toronto Raptors
27,Delaware,48.0,52.0,2019,Golden State Warriors,Toronto Raptors
28,South Dakota,43.0,57.0,2019,Golden State Warriors,Toronto Raptors
29,Idaho,37.0,63.0,2019,Golden State Warriors,Toronto Raptors
30,District of Columbia,44.0,56.0,2019,Golden State Warriors,Toronto Raptors
31,Tennessee,42.0,58.0,2019,Golden State Warriors,Toronto Raptors
32,North Dakota,45.0,55.0,2019,Golden State Warriors,Toronto Raptors
33,Nebraska,42.0,58.0,2019,Golden State Warriors,Toronto Raptors
34,Montana,41.0,59.0,2019,Golden State Warriors,Toronto Raptors
35,Alaska,41.0,59.0,2019,Golden State Warriors,Toronto Raptors
36,Wyoming,38.0,62.0,2019,Golden State Warriors,Toronto Raptors
37,Massachusetts,49.0,51.0,2019,Golden State Warriors,Toronto Raptors
38,Indiana,44.0,56.0,2019,Golden State Warriors,Toronto Raptors
39,Rhode Island,49.0,51.0,2019,Golden State Warriors,Toronto Raptors
40,Colorado,43.0,57.0,2019,Golden State Warriors,Toronto Raptors
41,Kentucky,45.0,55.0,2019,Golden State Warriors,Toronto Raptors
42,Iowa,43.0,57.0,2019,Golden State Warriors,Toronto Raptors
43,Connecticut,48.0,52.0,2019,Golden State Warriors,Toronto Raptors
44,Missouri,44.0,56.0,2019,Golden State Warriors,Toronto Raptors
45,Kansas,47.0,53.0,2019,Golden State Warriors,Toronto Raptors
46,Minnesota,44.0,56.0,2019,Golden State Warriors,Toronto Raptors
47,Vermont,49.0,51.0,2019,Golden State Warriors,Toronto Raptors
48,Maine,49.0,51.0,2019,Golden State Warriors,Toronto Raptors
49,West Virginia,45.0,55.0,2019,Golden State Warriors,Toronto Raptors
50,New Hampshire,51.0,49.0,2019,Toronto Raptors,Toronto Raptors
0,California,82.0,18.0,2020,Los Angeles Lakers,Los Angeles Lakers
1,Florida,38.0,62.0,2020,Miami Heat,Los Angeles Lakers
2,Hawaii,67.0,33.0,2020,Los Angeles Lakers,Los Angeles Lakers
3,Nevada,71.0,29.0,2020,Los Angeles Lakers,Los Angeles Lakers
4,Georgia,66.0,34.0,2020,Los Angeles Lakers,Los Angeles Lakers
5,Ohio,75.0,25.0,2020,Los Angeles Lakers,Los Angeles Lakers
6,New Mexico,71.0,29.0,2020,Los Angeles Lakers,Los Angeles Lakers
7,Mississippi,66.0,34.0,2020,Los Angeles Lakers,Los Angeles Lakers
8,Texas,67.0,33.0,2020,Los Angeles Lakers,Los Angeles Lakers
9,Illinois,65.0,35.0,2020,Los Angeles Lakers,Los Angeles Lakers
10,North Carolina,68.0,32.0,2020,Los Angeles Lakers,Los Angeles Lakers
11,District of Columbia,62.0,38.0,2020,Los Angeles Lakers,Los Angeles Lakers
12,Rhode Island,68.0,32.0,2020,Los Angeles Lakers,Los Angeles Lakers
13,Alabama,61.0,39.0,2020,Los Angeles Lakers,Los Angeles Lakers
14,Arkansas,65.0,35.0,2020,Los Angeles Lakers,Los Angeles Lakers
15,Arizona,69.0,31.0,2020,Los Angeles Lakers,Los Angeles Lakers
16,Pennsylvania,70.0,30.0,2020,Los Angeles Lakers,Los Angeles Lakers
17,Louisiana,65.0,35.0,2020,Los Angeles Lakers,Los Angeles Lakers
18,New Jersey,69.0,31.0,2020,Los Angeles Lakers,Los Angeles Lakers
19,Delaware,67.0,33.0,2020,Los Angeles Lakers,Los Angeles Lakers
20,Virginia,69.0,31.0,2020,Los Angeles Lakers,Los Angeles Lakers
21,Massachusetts,68.0,32.0,2020,Los Angeles Lakers,Los Angeles Lakers
22,Maryland,64.0,36.0,2020,Los Angeles Lakers,Los Angeles Lakers
23,South Carolina,60.0,40.0,2020,Los Angeles Lakers,Los Angeles Lakers
24,New York,64.0,36.0,2020,Los Angeles Lakers,Los Angeles Lakers
25,Iowa,66.0,34.0,2020,Los Angeles Lakers,Los Angeles Lakers
26,Kentucky,62.0,38.0,2020,Los Angeles Lakers,Los Angeles Lakers
27,Connecticut,64.0,36.0,2020,Los Angeles Lakers,Los Angeles Lakers
28,Nebraska,65.0,35.0,2020,Los Angeles Lakers,Los Angeles Lakers
29,Wyoming,71.0,29.0,2020,Los Angeles Lakers,Los Angeles Lakers
30,Utah,66.0,34.0,2020,Los Angeles Lakers,Los Angeles Lakers
31,South Dakota,63.0,37.0,2020,Los Angeles Lakers,Los Angeles Lakers
32,Colorado,63.0,37.0,2020,Los Angeles Lakers,Los Angeles Lakers
33,Alaska,62.0,38.0,2020,Los Angeles Lakers,Los Angeles Lakers
34,Oregon,66.0,34.0,2020,Los Angeles Lakers,Los Angeles Lakers
35,Indiana,62.0,38.0,2020,Los Angeles Lakers,Los Angeles Lakers
36,West Virginia,67.0,33.0,2020,Los Angeles Lakers,Los Angeles Lakers
37,Tennessee,63.0,37.0,2020,Los Angeles Lakers,Los Angeles Lakers
38,Michigan,65.0,35.0,2020,Los Angeles Lakers,Los Angeles Lakers
39,Oklahoma,64.0,36.0,2020,Los Angeles Lakers,Los Angeles Lakers
40,Kansas,66.0,34.0,2020,Los Angeles Lakers,Los Angeles Lakers
41,Missouri,64.0,36.0,2020,Los Angeles Lakers,Los Angeles Lakers
42,Wisconsin,61.0,39.0,2020,Los Angeles Lakers,Los Angeles Lakers
43,New Hampshire,62.0,38.0,2020,Los Angeles Lakers,Los Angeles Lakers
44,North Dakota,64.0,36.0,2020,Los Angeles Lakers,Los Angeles Lakers
45,Washington,67.0,33.0,2020,Los Angeles Lakers,Los Angeles Lakers
46,Idaho,67.0,33.0,2020,Los Angeles Lakers,Los Angeles Lakers
47,Minnesota,64.0,36.0,2020,Los Angeles Lakers,Los Angeles Lakers
48,Maine,65.0,35.0,2020,Los Angeles Lakers,Los Angeles Lakers
49,Montana,69.0,31.0,2020,Los Angeles Lakers,Los Angeles Lakers
50,Vermont,66.0,34.0,2020,Los Angeles Lakers,Los Angeles Lakers
0,Wisconsin,93.0,7.0,2021,Milwaukee Bucks,Milwaukee Bucks
1,Arizona,14.0,86.0,2021,Phoenix Suns,Milwaukee Bucks
2,New Mexico,33.0,67.0,2021,Phoenix Suns,Milwaukee Bucks
3,Illinois,61.0,39.0,2021,Milwaukee Bucks,Milwaukee Bucks
4,Iowa,61.0,39.0,2021,Milwaukee Bucks,Milwaukee Bucks
5,California,43.0,57.0,2021,Phoenix Suns,Milwaukee Bucks
6,Utah,42.0,58.0,2021,Phoenix Suns,Milwaukee Bucks
7,Nevada,43.0,57.0,2021,Phoenix Suns,Milwaukee Bucks
8,Georgia,47.0,53.0,2021,Phoenix Suns,Milwaukee Bucks
9,Texas,45.0,55.0,2021,Phoenix Suns,Milwaukee Bucks
10,Minnesota,60.0,40.0,2021,Milwaukee Bucks,Milwaukee Bucks
11,Hawaii,47.0,53.0,2021,Phoenix Suns,Milwaukee Bucks
12,Mississippi,46.0,54.0,2021,Phoenix Suns,Milwaukee Bucks
13,Colorado,48.0,52.0,2021,Phoenix Suns,Milwaukee Bucks
14,Nebraska,47.0,53.0,2021,Phoenix Suns,Milwaukee Bucks
15,Idaho,38.0,62.0,2021,Phoenix Suns,Milwaukee Bucks
16,North Dakota,51.0,49.0,2021,Milwaukee Bucks,Milwaukee Bucks
17,Alabama,48.0,52.0,2021,Phoenix Suns,Milwaukee Bucks
18,Kentucky,43.0,57.0,2021,Phoenix Suns,Milwaukee Bucks
19,Wyoming,46.0,54.0,2021,Phoenix Suns,Milwaukee Bucks
20,District of Columbia,48.0,52.0,2021,Phoenix Suns,Milwaukee Bucks
21,Indiana,48.0,52.0,2021,Phoenix Suns,Milwaukee Bucks
22,Alaska,47.0,53.0,2021,Phoenix Suns,Milwaukee Bucks
23,Louisiana,47.0,53.0,2021,Phoenix Suns,Milwaukee Bucks
24,South Dakota,49.0,51.0,2021,Phoenix Suns,Milwaukee Bucks
25,Oklahoma,45.0,55.0,2021,Phoenix Suns,Milwaukee Bucks
26,Montana,45.0,55.0,2021,Phoenix Suns,Milwaukee Bucks
27,Florida,49.0,51.0,2021,Phoenix Suns,Milwaukee Bucks
28,Delaware,48.0,52.0,2021,Phoenix Suns,Milwaukee Bucks
29,West Virginia,41.0,59.0,2021,Phoenix Suns,Milwaukee Bucks
30,Pennsylvania,45.0,55.0,2021,Phoenix Suns,Milwaukee Bucks
31,Oregon,43.0,57.0,2021,Phoenix Suns,Milwaukee Bucks
32,New York,47.0,53.0,2021,Phoenix Suns,Milwaukee Bucks
33,North Carolina,45.0,55.0,2021,Phoenix Suns,Milwaukee Bucks
34,Ohio,45.0,55.0,2021,Phoenix Suns,Milwaukee Bucks
35,South Carolina,49.0,51.0,2021,Phoenix Suns,Milwaukee Bucks
36,Arkansas,50.0,50.0,2021,Milwaukee Bucks,Milwaukee Bucks
37,New Jersey,47.0,53.0,2021,Phoenix Suns,Milwaukee Bucks
38,Maryland,48.0,52.0,2021,Phoenix Suns,Milwaukee Bucks
39,Massachusetts,48.0,52.0,2021,Phoenix Suns,Milwaukee Bucks
40,Michigan,50.0,50.0,2021,Milwaukee Bucks,Milwaukee Bucks
41,Kansas,46.0,54.0,2021,Phoenix Suns,Milwaukee Bucks
42,Tennessee,49.0,51.0,2021,Phoenix Suns,Milwaukee Bucks
43,Connecticut,48.0,52.0,2021,Phoenix Suns,Milwaukee Bucks
44,New Hampshire,49.0,51.0,2021,Phoenix Suns,Milwaukee Bucks
45,Virginia,48.0,52.0,2021,Phoenix Suns,Milwaukee Bucks
46,Missouri,48.0,52.0,2021,Phoenix Suns,Milwaukee Bucks
47,Vermont,47.0,53.0,2021,Phoenix Suns,Milwaukee Bucks
48,Maine,48.0,52.0,2021,Phoenix Suns,Milwaukee Bucks
49,Washington,46.0,54.0,2021,Phoenix Suns,Milwaukee Bucks
50,Rhode Island,49.0,51.0,2021,Phoenix Suns,Milwaukee Bucks
0,Massachusetts,9.0,91.0,2022,Boston Celtics,Golden State Warriors
1,New Hampshire,7.0,93.0,2022,Boston Celtics,Golden State Warriors
2,Rhode Island,12.0,88.0,2022,Boston Celtics,Golden State Warriors
3,Maine,10.0,90.0,2022,Boston Celtics,Golden State Warriors
4,California,75.0,25.0,2022,Golden State Warriors,Golden State Warriors
5,Vermont,17.0,83.0,2022,Boston Celtics,Golden State Warriors
6,Connecticut,24.0,76.0,2022,Boston Celtics,Golden State Warriors
7,Georgia,54.0,46.0,2022,Golden State Warriors,Golden State Warriors
8,Mississippi,55.0,45.0,2022,Golden State Warriors,Golden State Warriors
9,Arizona,55.0,45.0,2022,Golden State Warriors,Golden State Warriors
10,Nevada,60.0,40.0,2022,Golden State Warriors,Golden State Warriors
11,Hawaii,57.0,43.0,2022,Golden State Warriors,Golden State Warriors
12,Florida,50.0,50.0,2022,Golden State Warriors,Golden State Warriors
13,Texas,54.0,46.0,2022,Golden State Warriors,Golden State Warriors
14,North Carolina,52.0,48.0,2022,Golden State Warriors,Golden State Warriors
15,District of Columbia,46.0,54.0,2022,Boston Celtics,Golden State Warriors
16,Illinois,53.0,47.0,2022,Golden State Warriors,Golden State Warriors
17,New Jersey,47.0,53.0,2022,Boston Celtics,Golden State Warriors
18,Alabama,54.0,46.0,2022,Golden State Warriors,Golden State Warriors
19,Delaware,46.0,54.0,2022,Boston Celtics,Golden State Warriors
20,Arkansas,55.0,45.0,2022,Golden State Warriors,Golden State Warriors
21,New York,48.0,52.0,2022,Boston Celtics,Golden State Warriors
22,Louisiana,53.0,47.0,2022,Golden State Warriors,Golden State Warriors
23,Michigan,59.0,41.0,2022,Golden State Warriors,Golden State Warriors
24,Alaska,54.0,46.0,2022,Golden State Warriors,Golden State Warriors
25,Virginia,48.0,52.0,2022,Boston Celtics,Golden State Warriors
26,Ohio,47.0,53.0,2022,Boston Celtics,Golden State Warriors
27,Pennsylvania,49.0,51.0,2022,Boston Celtics,Golden State Warriors
28,Maryland,52.0,48.0,2022,Golden State Warriors,Golden State Warriors
29,South Carolina,51.0,49.0,2022,Golden State Warriors,Golden State Warriors
30,New Mexico,51.0,49.0,2022,Golden State Warriors,Golden State Warriors
31,South Dakota,52.0,48.0,2022,Golden State Warriors,Golden State Warriors
32,Montana,52.0,48.0,2022,Golden State Warriors,Golden State Warriors
33,Idaho,57.0,43.0,2022,Golden State Warriors,Golden State Warriors
34,Tennessee,50.0,50.0,2022,Golden State Warriors,Golden State Warriors
35,Wisconsin,49.0,51.0,2022,Boston Celtics,Golden State Warriors
36,Nebraska,51.0,49.0,2022,Golden State Warriors,Golden State Warriors
37,Utah,52.0,48.0,2022,Golden State Warriors,Golden State Warriors
38,Kansas,53.0,47.0,2022,Golden State Warriors,Golden State Warriors
39,Indiana,51.0,49.0,2022,Golden State Warriors,Golden State Warriors
40,Iowa,52.0,48.0,2022,Golden State Warriors,Golden State Warriors
41,Kentucky,50.0,50.0,2022,Golden State Warriors,Golden State Warriors
42,Oregon,56.0,44.0,2022,Golden State Warriors,Golden State Warriors
43,West Virginia,49.0,51.0,2022,Boston Celtics,Golden State Warriors
44,Washington,60.0,40.0,2022,Golden State Warriors,Golden State Warriors
45,Wyoming,49.0,51.0,2022,Boston Celtics,Golden State Warriors
46,North Dakota,51.0,49.0,2022,Golden State Warriors,Golden State Warriors
47,Missouri,50.0,50.0,2022,Golden State Warriors,Golden State Warriors
48,Colorado,51.0,49.0,2022,Golden State Warriors,Golden State Warriors
49,Oklahoma,49.0,51.0,2022,Boston Celtics,Golden State Warriors
50,Minnesota,54.0,46.0,2022,Golden State Warriors,Golden State Warriors
